iter	Passed	Remaining
760	2980	12685
761	2983	12678
762	2987	12674
763	2990	12668
764	2994	12661
765	2997	12656
766	3001	12650
767	3004	12645
768	3008	12638
769	3011	12632
770	3015	12628
771	3018	12622
772	3022	12615
773	3025	12609
774	3030	12609
775	3033	12602
776	3036	12595
777	3040	12590
778	3043	12585
779	3046	12577
780	3049	12570
781	3052	12562
782	3055	12555
783	3058	12547
784	3062	12541
785	3065	12534
786	3069	12530
787	3072	12523
788	3075	12516
789	3078	12509
790	3082	12503
791	3085	12497
792	3088	12490
793	3092	12485
794	3095	12478
795	3098	12473
796	3101	12465
797	3107	12469
798	3112	12468
799	3115	12463
800	3119	12458
801	3122	12452
802	3125	12445
803	3129	12438
804	3132	12431
805	3135	12426
806	3139	12422
807	3142	12415
808	3145	12407
809	3148	12400
810	3152	12396
811	3155	12390
812	3159	12383
813	3162	12378
814	3166	12373
815	3169	12369
816	3173	12362
817	3176	12357
818	3179	12350
819	3183	12346
820	3187	12341
821	3190	12334
822	3194	12330
823	3197	12323
824	3200	12317
825	3203	12311
826	3207	12304
827	3210	12299
828	3213	12292
829	3217	12287
830	3220	12280
831	3223	12274
832	3228	12275
833	3233	12273
834	3237	12270
835	3242	12271
836	3248	12275
837	3252	12272
838	3256	12268
839	3260	12265
840	3265	12266
841	3270	12265
842	3273	12259
843	3277	12256
844	3283	12258
845	3286	12252
846	3291	12253
847	3300	12266
848	3305	12268
849	3311	12272
850	3316	12271
851	3321	12271
852	3325	12270
853	3333	12280
854	3339	12284
855	3344	12284
856	3350	12287
857	3355	12287
858	3360	12287
859	3366	12291
860	3373	12297
861	3378	12299
862	3384	12301
863	3392	12311
864	3397	12313
865	3402	12312
866	3408	12317
867	3415	12322
868	3420	12322
869	3425	12322
870	3430	12324
871	3435	12321
872	3439	12319
873	3446	12326
874	3449	12321
875	3455	12323
876	3461	12326
877	3467	12328
878	3471	12326
879	3479	12336
880	3488	12348
881	3495	12357
882	3502	12362
883	3507	12362
884	3514	12370
885	3522	12379
886	3530	12391
887	3538	12401
888	3547	12415
889	3554	12419
890	3558	12417
891	3565	12421
892	3570	12424
893	3574	12420
894	3580	12420
895	3586	12425
896	3593	12430
897	3598	12430
898	3603	12428
899	3608	12429
900	3615	12436
901	3623	12444
902	3628	12445
903	3633	12445
904	3637	12440
905	3642	12437
906	3646	12435
907	3651	12435
908	3661	12450
909	3666	12449
910	3670	12444
911	3678	12455
912	3681	12448
913	3685	12442
914	3688	12436
915	3692	12432
916	3695	12425
917	3698	12417
918	3701	12410
919	3704	12403
920	3707	12395
921	3710	12388
922	3714	12383
923	3717	12375
924	3721	12370
925	3724	12363
926	3727	12356
927	3730	12349
928	3734	12343
929	3737	12336
930	3740	12329
931	3744	12324
932	3747	12318
933	3750	12311
934	3753	12303
935	3756	12296
936	3759	12289
937	3762	12283
938	3765	12276
939	3769	12270
940	3772	12263
941	3775	12255
942	3778	12248
943	3781	12240
944	3784	12233
945	3787	12226
946	3790	12219
947	3794	12214
948	3798	12211
949	3801	12204
950	3804	12198
951	3809	12198
952	3814	12195
953	3817	12189
954	3821	12183
955	3826	12183
956	3829	12177
957	3833	12171
958	3836	12165
959	3841	12165
960	3844	12158
961	3847	12151
962	3851	12145
963	3854	12139
964	3858	12134
965	3861	12127
966	3864	12120
967	3867	12113
968	3870	12106
969	3874	12101
970	3877	12095
971	3880	12088
972	3883	12081
973	3886	12074
974	3889	12067
975	3892	12061
976	3896	12056
977	3899	12050
978	3903	12045
979	3906	12039
980	3909	12032
981	3913	12025
982	3916	12020
983	3919	12013
984	3922	12007
985	3926	12001
986	3929	11994
987	3932	11988
988	3935	11982
989	3939	11976
990	3942	11970
991	3946	11965
992	3949	11959
993	3952	11952
994	3955	11945
995	3958	11939
996	3961	11932
997	3964	11926
998	3967	11919
999	3970	11912
1000	3974	11906
1001	3977	11902
1002	3981	11896
1003	3984	11890
1004	3989	11888
1005	3993	11886
1006	3996	11879
1007	4000	11873
1008	4004	11869
1009	4007	11862
1010	4014	11867
1011	4018	11863
1012	4021	11858
1013	4024	11852
1014	4028	11847
